Model,Original_Image_URL,Transparent_Image_File,Transparent_Image_URL,Status,Error
SL 63,https://i.pinimg.com/1200x/b2/46/50/b2465018a2eff388e6d93a3d7eb3e676.jpg,output\transparent_cars\SL_63.png,,SUCCESS,
RS 3,https://i.pinimg.com/1200x/f5/1f/63/f51f63918612f48ef4bf16a9df4fe1b8.jpg,output\transparent_cars\RS_3.png,,SUCCESS,
RS 5,https://i.pinimg.com/1200x/64/23/7b/64237b8983ef9d8e38b26b920c2f2a07.jpg,output\transparent_cars\RS_5.png,,SUCCESS,
Vantage,https://i.pinimg.com/1200x/c6/8b/bb/c68bbb7bd42580aeea7d570a8d7e5151.jpg,output\transparent_cars\Vantage.png,,SUCCESS,
DB12,https://i.pinimg.com/1200x/b5/10/e9/b510e9d8f299a49c0bd02bb065c53a12.jpg,output\transparent_cars\DB12.png,,SUCCESS,
Vanquish,https://i.pinimg.com/736x/97/93/18/979318cc4d82f5cd2e5e1429cca3fed1.jpg,output\transparent_cars\Vanquish.png,,SUCCESS,
Valhalla,https://i.pinimg.com/1200x/0b/37/51/0b3751d3cb58a200b3b4406c6760f1ef.jpg,output\transparent_cars\Valhalla.png,,SUCCESS,
296 GTB,https://i.pinimg.com/1200x/66/20/2f/66202f3aeccde91b8cb6440df3f2c7b9.jpg,output\transparent_cars\296_GTB.png,,SUCCESS,
12Cilindri,https://i.pinimg.com/1200x/2e/9f/9a/2e9f9a019a857c945da836401eb3149d.jpg,output\transparent_cars\12Cilindri.png,,SUCCESS,
SF90 XX Stradale,https://i.pinimg.com/1200x/12/65/b3/1265b3fcbb7c43e91c5f5bad92db8ddb.jpg,output\transparent_cars\SF90_XX_Stradale.png,,SUCCESS,
Purosangue,https://i.pinimg.com/1200x/3f/c3/1f/3fc31f8d4cd412f3d6cf3a7f23f4e294.jpg,output\transparent_cars\Purosangue.png,,SUCCESS,
F80,https://i.pinimg.com/1200x/f7/28/30/f7283008c82e042ea1d726360df97130.jpg,output\transparent_cars\F80.png,,SUCCESS,
Revuelto,https://i.pinimg.com/1200x/73/2a/66/732a6618b84f77345a7194e6e0fff382.jpg,output\transparent_cars\Revuelto.png,,SUCCESS,
Temerario,https://i.pinimg.com/736x/8f/3b/a1/8f3ba15aec6d064b68535ac884150551.jpg,output\transparent_cars\Temerario.png,,SUCCESS,
Urus SE,https://i.pinimg.com/1200x/f0/df/77/f0df77b3cd53c8d1e9f2c2628b207af8.jpg,output\transparent_cars\Urus_SE.png,,SUCCESS,
Artura,https://i.pinimg.com/1200x/15/ed/5a/15ed5ad4f449481059af80d1f3fba90f.jpg,output\transparent_cars\Artura.png,,SUCCESS,
750S,https://i.pinimg.com/736x/82/90/c7/8290c76fe40e0ea8afa89b1c8ff8ac6a.jpg,output\transparent_cars\750S.png,,SUCCESS,
750S Spider,https://i.pinimg.com/736x/ab/43/20/ab4320fcdc505eb7f504fd806b8d6a53.jpg,output\transparent_cars\750S_Spider.png,,SUCCESS,
W1,https://i.pinimg.com/736x/e4/49/45/e4494513c38e33afce206a3edcef683e.jpg,output\transparent_cars\W1.png,,SUCCESS,
MC20,https://i.pinimg.com/1200x/f4/a0/7d/f4a07dc7b4bee0a669ae1f2f7b8a79b2.jpg,output\transparent_cars\MC20.png,,SUCCESS,
Emira V6,https://i.pinimg.com/1200x/b3/1b/b1/b31bb1c58b5a8a22e6db9444a1e5bc21.jpg,output\transparent_cars\Emira_V6.png,,SUCCESS,
Emira i4,https://i.pinimg.com/1200x/c4/a5/49/c4a54987d97165e85c2c9c676dd75413.jpg,output\transparent_cars\Emira_i4.png,,SUCCESS,
